metric,value
filtered rows,94
previous day maximum BI mean,141.968085106383
previous day maximum BI sd,142.64923912205143
change in maximum BI mean,-10.914893617021274
change in maximum BI sd,113.31625357459586
maximum wind gust mean,4.328723404255319
maximum wind gust sd,1.800156644344468
cumulative butterflies in direct sun mean,108.75531914893621
cumulative butterflies in direct sun sd,177.10410559530877
window duration mean,24
window duration sd,0
