term,edf,Ref.df,F,p-value
s(max_butterflies_t_1),2.124813527013631,2.124813527013631,13.757356347498801,1.0030168779928683e-5
"ti(wind_max_gust,sum_butterflies_direct_sun)",3.5366832661185246,3.5366832661185246,3.594109168495887,0.019590019172968987
