source_database,sha256,size_bytes,wind_sensor_name,sensor_match_basis,source_rows,matched_source_rows,excluded_source_rows,first_timestamp_raw,last_timestamp_raw,units_table,log_interval_table
portable/raw/WindLog_laptop/OC NW.s3db,c5c2452db93c321562d807af8757b8c106a356a0322d0fb4e5ca784c45dba50a,6227968,,not_a_study_sensor_filename,81476,0,81476,2008-01-01 00:05:00,2024-07-09 13:30:00,[[2]],[[5]]
portable/raw/WindLog_laptop/OC SW CatFable.s3db,9df51292f96aae86d840c563f46b23166e8da3e2833e0fa28e7bd4c6d23faee7,2111488,CatFable,explicit_filename_alias,28034,0,28034,2008-01-01 00:05:00,2023-11-27 14:10:00,[[2]],[[5]]
portable/raw/WindLog_laptop/OakTrust.s3db,1930ab9a62fd880ffaa1686ea6a1eba0fac8b960e5290ea3bdc3d573c1703a95,1928192,OakTrust,exact_case_insensitive_filename,25688,24515,1173,2008-01-01 00:01:00,2024-01-05 14:18:00,[[2]],[[1]]
portable/raw/WindLog_laptop/PugSnore.s3db,0c9ba052360b391d98c63575a97ab72f0fff44a72b5fc23a0cec0e5b26df4d15,6554624,PugSnore,exact_case_insensitive_filename,86525,85053,1472,2008-01-01 00:01:00,2024-02-05 13:44:00,[[2]],[[1]]
portable/raw/WindLog_laptop/PureWave.s3db,4a49d5641d70a7fa1628c6eb3ee0716e9d2d9516a541ff674755d3b94b64e32b,26398720,,not_a_study_sensor_filename,345082,0,345082,2008-01-01 00:01:00,2025-01-15 11:49:00,[[2]],[[1]]
portable/raw/WindLog_laptop/RockWall.s3db,486cc13ffd5d7c6de984e4579176f70e778f87407154bc22696368a8450040fa,5901312,RockWall,exact_case_insensitive_filename,77696,76314,1382,2024-10-30 13:48:00,2025-01-14 22:01:00,[[2]],[[1]]
portable/raw/WindLog_laptop/RoseKiss.s3db,25c974fdf5241e7676be531ccf3ad3038f741a2be49432c4707cfa7e1d237cae,18026496,,not_a_study_sensor_filename,234990,0,234990,2008-01-01 00:01:00,2024-04-09 11:37:00,[[2]],[[1]]
portable/raw/WindLog_laptop/SandDune.s3db,16b399702604219fdba0bdfe12bf5d735af1afa03e15e66f4ad013ecd0b97335,2728960,,not_a_study_sensor_filename,36324,0,36324,2024-01-05 18:08:00,2024-04-09 11:45:00,[[2]],[[1]]
portable/raw/WindLog_laptop/SkiSlope.s3db,2a3beca7bfd827e840145b1b7be126cfc50c8f1bd24b3c927c1efa12883d994e,6144,,not_a_study_sensor_filename,2,0,2,2023-10-20 14:44:00,2023-10-20 14:45:00,[[2]],[[1]]
portable/raw/WindLog_laptop/StarDust.s3db,91c11d277c57984c5d847b70371750abb21af9145aa7a1676d0cf28d2ab5eb60,6581248,StarDust,exact_case_insensitive_filename,86783,79023,7760,2008-01-01 00:01:00,2024-03-14 13:21:00,[[2]],[[1]]
portable/raw/WindLog_laptop/SunRuler.s3db,47539df202558475563fb46807be8cef56b83b9b68012dbd6311d931723f96e9,1416192,SunRuler,exact_case_insensitive_filename,18978,18922,56,2024-01-05 10:41:00,2024-01-18 15:20:00,[[2]],[[1]]
portable/raw/WindLog_laptop/TechCore.s3db,500e9ff8c2f6857454421d50f5f413a5ce1debd38260661bedcb100d8fb9a722,17904640,,not_a_study_sensor_filename,235127,0,235127,2023-10-10 21:35:00,2024-04-09 15:55:00,[[2]],[[1]]
portable/raw/WindLog_laptop/TopScore.s3db,19ff9eb215fd49913f865a23ee0c631de27a8567ace78d9f94a025dcbb44fc1a,10224640,,not_a_study_sensor_filename,133747,0,133747,2008-01-01 00:01:00,2025-01-15 12:48:00,[[2]],[[1]]
