term,Estimate,Std. Error,t value,Pr(>|t|),term_type,edf,Ref.df,F,p-value
(Intercept),9.426341691307627,5.5160008050889155,1.7089086866360017,0.09106111006947461,parametric,NA,NA,NA,NA
max_butterflies_t_1,-0.02974455405249877,0.005962994972583905,-4.988190362268536,3.12178457395826e-6,parametric,NA,NA,NA,NA
lag_duration_hours,-0.19029570155925526,0.17838680828512532,-1.066758822519518,0.28905523555891427,parametric,NA,NA,NA,NA
"ti(wind_max_gust,sum_butterflies_direct_sun)",NA,NA,NA,NA,smooth,6.6785382741490675,6.6785382741490675,4.097425177663422,8.324160058073016e-4
