metric,value
filtered rows,96
previous day maximum BI mean,139.96875
previous day maximum BI sd,141.9122377516619
change in maximum BI mean,-10.458333333333334
change in maximum BI sd,112.18836759914726
maximum wind gust mean,4.53125
maximum wind gust sd,1.7990238581256404
cumulative butterflies in direct sun mean,139.7708333333333
cumulative butterflies in direct sun sd,206.8647907853502
window duration mean,29.82535011574074
window duration sd,3.654860943410474
