deployment_id,mean_bi,maximum_bi
SC1,27.014084507042238,121
SC10,111.51104972375693,770
SC12,25.469512195121936,159
SC2,78.20512820512822,122
SC4,65.85594989561588,569
SC6,39.82897862232779,284
SC8,131.41201716738183,293
SC9,0.5,1
UDMH2,382.54545454545456,950
UDMH4,58.15384615384615,98
