hour,hour_num,mean_delta_bi,se_delta_bi,deployment_day_hours,paired_rows,se_low,se_high
07:00,7,4.086956521739134,1.7450121515226038,92,119,2.3419443702165306,5.831968673261738
08:00,8,-0.6612903225806468,1.6084411162217451,93,186,-2.269731438802392,0.9471507936410983
09:00,9,-8.295698924731186,2.8685071260595736,93,185,-11.16420605079076,-5.427191798671612
10:00,10,-7.880434782608698,3.4771313637274877,92,178,-11.357566146336186,-4.40330341888121
11:00,11,-2.443820224719099,1.6185774746709556,89,173,-4.062397699390054,-0.8252427500481434
12:00,12,-0.9892473118279581,1.4136551570822973,93,182,-2.4029024689102556,0.42440784525433917
13:00,13,2.7400000000000015,1.9079906401312043,100,195,0.8320093598687972,4.647990640131206
14:00,14,9.732673267326735,2.9916431820216167,101,194,6.741030085305118,12.724316449348352
15:00,15,3.9132653061224496,2.009720559123305,98,192,1.9035447469991444,5.922985865245755
16:00,16,2.1050000000000053,2.6634573017001406,100,196,-0.5584573017001353,4.7684573017001455
17:00,17,-0.20666666666666225,3.8418404623485,75,94,-4.048507129015162,3.6351737956818377
