season,deployment_id,camera_name,image_filename,timestamp_recorded,temperature_c
2023-2024,SC1,EM03,SC1_20231117114001.JPG,2023-11-17T11:40:01,22.0
2023-2024,SC1,EM03,SC1_20231117114501.JPG,2023-11-17T11:45:01,21.0
2023-2024,SC1,EM03,SC1_20231117115001.JPG,2023-11-17T11:50:01,20.0
2023-2024,SC1,EM03,SC1_20231117115501.JPG,2023-11-17T11:55:01,20.0
2023-2024,SC1,EM03,SC1_20231117120001.JPG,2023-11-17T12:00:01,19.0
2023-2024,SC1,EM03,SC1_20231117120501.JPG,2023-11-17T12:05:01,19.0
2023-2024,SC1,EM03,SC1_20231117121001.JPG,2023-11-17T12:10:01,19.0
2023-2024,SC1,EM03,SC1_20231117121501.JPG,2023-11-17T12:15:01,19.0
2023-2024,SC1,EM03,SC1_20231117122001.JPG,2023-11-17T12:20:01,19.0
2023-2024,SC1,EM03,SC1_20231117122501.JPG,2023-11-17T12:25:01,18.0
2023-2024,SC1,EM03,SC1_20231117123001.JPG,2023-11-17T12:30:01,18.0
2023-2024,SC1,EM03,SC1_20231117123501.JPG,2023-11-17T12:35:01,18.0
2023-2024,SC1,EM03,SC1_20231117124001.JPG,2023-11-17T12:40:01,18.0
2023-2024,SC1,EM03,SC1_20231117124501.JPG,2023-11-17T12:45:01,17.0
2023-2024,SC1,EM03,SC1_20231117125001.JPG,2023-11-17T12:50:01,17.0
2023-2024,SC1,EM03,SC1_20231117125501.JPG,2023-11-17T12:55:01,18.0
2023-2024,SC1,EM03,SC1_20231117130001.JPG,2023-11-17T13:00:01,18.0
2023-2024,SC1,EM03,SC1_20231117130501.JPG,2023-11-17T13:05:01,17.0
2023-2024,SC1,EM03,SC1_20231117131001.JPG,2023-11-17T13:10:01,17.0
2023-2024,SC1,EM03,SC1_20231117131501.JPG,2023-11-17T13:15:01,17.0
2023-2024,SC1,EM03,SC1_20231117132001.JPG,2023-11-17T13:20:01,17.0
2023-2024,SC1,EM03,SC1_20231117132501.JPG,2023-11-17T13:25:01,17.0
2023-2024,SC1,EM03,SC1_20231117133001.JPG,2023-11-17T13:30:01,17.0
2023-2024,SC1,EM03,SC1_20231117133501.JPG,2023-11-17T13:35:01,17.0
2023-2024,SC1,EM03,SC1_20231117134001.JPG,2023-11-17T13:40:01,17.0
2023-2024,SC1,EM03,SC1_20231117134501.JPG,2023-11-17T13:45:01,17.0
2023-2024,SC1,EM03,SC1_20231117135001.JPG,2023-11-17T13:50:01,17.0
2023-2024,SC1,EM03,SC1_20231117135501.JPG,2023-11-17T13:55:01,16.0
2023-2024,SC1,EM03,SC1_20231117140001.JPG,2023-11-17T14:00:01,16.0
2023-2024,SC1,EM03,SC1_20231117140501.JPG,2023-11-17T14:05:01,16.0
2023-2024,SC1,EM03,SC1_20231117141001.JPG,2023-11-17T14:10:01,16.0
2023-2024,SC1,EM03,SC1_20231117141501.JPG,2023-11-17T14:15:01,16.0
2023-2024,SC1,EM03,SC1_20231117142001.JPG,2023-11-17T14:20:01,16.0
2023-2024,SC1,EM03,SC1_20231117142502.JPG,2023-11-17T14:25:02,18.0
2023-2024,SC1,EM03,SC1_20231117143001.JPG,2023-11-17T14:30:01,17.0
2023-2024,SC1,EM03,SC1_20231117143501.JPG,2023-11-17T14:35:01,17.0
2023-2024,SC1,EM03,SC1_20231117144001.JPG,2023-11-17T14:40:01,16.0
2023-2024,SC1,EM03,SC1_20231117144501.JPG,2023-11-17T14:45:01,16.0
2023-2024,SC1,EM03,SC1_20231117145001.JPG,2023-11-17T14:50:01,16.0
2023-2024,SC1,EM03,SC1_20231117145501.JPG,2023-11-17T14:55:01,16.0
2023-2024,SC1,EM03,SC1_20231117150001.JPG,2023-11-17T15:00:01,16.0
2023-2024,SC1,EM03,SC1_20231117150501.JPG,2023-11-17T15:05:01,15.0
2023-2024,SC1,EM03,SC1_20231117151001.JPG,2023-11-17T15:10:01,16.0
2023-2024,SC1,EM03,SC1_20231117151501.JPG,2023-11-17T15:15:01,15.0
2023-2024,SC1,EM03,SC1_20231117152001.JPG,2023-11-17T15:20:01,15.0
2023-2024,SC1,EM03,SC1_20231117152501.JPG,2023-11-17T15:25:01,15.0
2023-2024,SC1,EM03,SC1_20231117153001.JPG,2023-11-17T15:30:01,15.0
