deployment_id,camera_id,image_filename,timestamp,relative_path
SC1,EM03,SC1_20231117154501.JPG,2023-11-17T15:45:01,photos/SC1/SC1_20231117154501.JPG
SC1,EM03,SC1_20231117155001.JPG,2023-11-17T15:50:01,photos/SC1/SC1_20231117155001.JPG
SC1,EM03,SC1_20231117155501.JPG,2023-11-17T15:55:01,photos/SC1/SC1_20231117155501.JPG
SC1,EM03,SC1_20231117160001.JPG,2023-11-17T16:00:01,photos/SC1/SC1_20231117160001.JPG
SC1,EM03,SC1_20231117160501.JPG,2023-11-17T16:05:01,photos/SC1/SC1_20231117160501.JPG
SC1,EM03,SC1_20231117161001.JPG,2023-11-17T16:10:01,photos/SC1/SC1_20231117161001.JPG
SC1,EM03,SC1_20231117161501.JPG,2023-11-17T16:15:01,photos/SC1/SC1_20231117161501.JPG
SC1,EM03,SC1_20231117162001.JPG,2023-11-17T16:20:01,photos/SC1/SC1_20231117162001.JPG
SC1,EM03,SC1_20231117162501.JPG,2023-11-17T16:25:01,photos/SC1/SC1_20231117162501.JPG
SC1,EM03,SC1_20231117163001.JPG,2023-11-17T16:30:01,photos/SC1/SC1_20231117163001.JPG
SC1,EM03,SC1_20231117163501.JPG,2023-11-17T16:35:01,photos/SC1/SC1_20231117163501.JPG
SC1,EM03,SC1_20231117164001.JPG,2023-11-17T16:40:01,photos/SC1/SC1_20231117164001.JPG
SC1,EM03,SC1_20231117164501.JPG,2023-11-17T16:45:01,photos/SC1/SC1_20231117164501.JPG
SC1,EM03,SC1_20231117165001.JPG,2023-11-17T16:50:01,photos/SC1/SC1_20231117165001.JPG
SC1,EM03,SC1_20231117165501.JPG,2023-11-17T16:55:01,photos/SC1/SC1_20231117165501.JPG
SC1,EM03,SC1_20231117170001.JPG,2023-11-17T17:00:01,photos/SC1/SC1_20231117170001.JPG
SC1,EM03,SC1_20231117170501.JPG,2023-11-17T17:05:01,photos/SC1/SC1_20231117170501.JPG
SC1,EM03,SC1_20231117171001.JPG,2023-11-17T17:10:01,photos/SC1/SC1_20231117171001.JPG
SC1,EM03,SC1_20231117171501.JPG,2023-11-17T17:15:01,photos/SC1/SC1_20231117171501.JPG
SC1,EM03,SC1_20231117172001.JPG,2023-11-17T17:20:01,photos/SC1/SC1_20231117172001.JPG
SC1,EM03,SC1_20231117172501.JPG,2023-11-17T17:25:01,photos/SC1/SC1_20231117172501.JPG
SC1,EM03,SC1_20231117173001.JPG,2023-11-17T17:30:01,photos/SC1/SC1_20231117173001.JPG
SC1,EM03,SC1_20231117173501.JPG,2023-11-17T17:35:01,photos/SC1/SC1_20231117173501.JPG
