deployment_id,camera_name,image_filename,timestamp_recorded,primary_observer,record_user_id,classification_confirmed,is_night,cells_0,cells_1_9,cells_10_99,cells_100_999,sun_exposed_cells_1_9,sun_exposed_cells_10_99,sun_exposed_cells_100_999,butterfly_index,sun_exposed_butterfly_index
SC1,EM03,SC1_20231117153501.JPG,2023-11-17T15:35:01,Skyler,SM,True,False,119,19,6,0,0,0,0,79,0
SC1,EM03,SC1_20231117154001.JPG,2023-11-17T15:40:01,Skyler,SM,True,False,116,27,1,0,0,0,0,37,0
SC1,EM03,SC1_20231117154501.JPG,2023-11-17T15:45:01,Skyler,SM,True,False,117,25,2,0,0,0,0,45,0
SC1,EM03,SC1_20231117155001.JPG,2023-11-17T15:50:01,Skyler,SM,True,False,115,27,2,0,0,0,0,47,0
SC1,EM03,SC1_20231117155501.JPG,2023-11-17T15:55:01,Skyler,SM,True,False,117,25,2,0,0,0,0,45,0
SC1,EM03,SC1_20231117160001.JPG,2023-11-17T16:00:01,Skyler,SM,True,False,110,32,2,0,0,0,0,52,0
SC1,EM03,SC1_20231117160501.JPG,2023-11-17T16:05:01,Skyler,SM,True,False,115,29,0,0,0,0,0,29,0
SC1,EM03,SC1_20231117161001.JPG,2023-11-17T16:10:01,Skyler,SM,True,False,115,27,2,0,0,0,0,47,0
SC1,EM03,SC1_20231117161501.JPG,2023-11-17T16:15:01,Skyler,SM,True,False,117,26,1,0,0,0,0,36,0
SC1,EM03,SC1_20231117162001.JPG,2023-11-17T16:20:01,Skyler,SM,True,False,118,24,2,0,0,0,0,44,0
SC1,EM03,SC1_20231117162501.JPG,2023-11-17T16:25:01,Skyler,SM,True,False,110,32,2,0,0,0,0,52,0
SC1,EM03,SC1_20231117163001.JPG,2023-11-17T16:30:01,Skyler,SM,True,False,111,31,2,0,0,0,0,51,0
SC1,EM03,SC1_20231117163501.JPG,2023-11-17T16:35:01,Skyler,SM,True,False,114,29,1,0,0,0,0,39,0
SC1,EM03,SC1_20231117164001.JPG,2023-11-17T16:40:01,Skyler,SM,True,False,112,30,2,0,0,0,0,50,0
SC1,EM03,SC1_20231117164501.JPG,2023-11-17T16:45:01,Skyler,SM,True,False,114,29,1,0,0,0,0,39,0
SC1,EM03,SC1_20231117165001.JPG,2023-11-17T16:50:01,Skyler,SM,True,False,112,31,1,0,0,0,0,41,0
SC1,EM03,SC1_20231117165501.JPG,2023-11-17T16:55:01,Skyler,SM,True,False,114,29,1,0,0,0,0,39,0
SC1,EM03,SC1_20231117170001.JPG,2023-11-17T17:00:01,Skyler,SM,True,False,112,28,4,0,0,0,0,68,0
SC1,EM03,SC1_20231117170501.JPG,2023-11-17T17:05:01,Skyler,SM,True,False,116,23,5,0,0,0,0,73,0
SC1,EM03,SC1_20231117171001.JPG,2023-11-17T17:10:01,Skyler,SM,True,False,117,22,5,0,0,0,0,72,0
SC1,EM03,SC1_20231117171501.JPG,2023-11-17T17:15:01,Skyler,SM,True,False,119,21,4,0,0,0,0,61,0
SC1,EM03,SC1_20231117172001.JPG,2023-11-17T17:20:01,Skyler,SM,True,False,122,19,3,0,0,0,0,49,0
SC1,EM03,SC1_20231117172501.JPG,2023-11-17T17:25:01,Skyler,SM,True,False,123,17,4,0,0,0,0,57,0
SC1,EM03,SC1_20231117173001.JPG,2023-11-17T17:30:01,Skyler,SM,True,False,120,21,3,0,0,0,0,51,0
SC1,EM03,SC1_20231117173501.JPG,2023-11-17T17:35:01,Skyler,SM,True,False,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117174001.JPG,2023-11-17T17:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117174501.JPG,2023-11-17T17:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117175001.JPG,2023-11-17T17:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117175501.JPG,2023-11-17T17:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
