analysis,response,predictor,n,beta,standard_error,p_value,r,r_squared
30-minute manuscript figure,butterfly_difference,max_gust,1894,1.1851257056768993,0.6612725013507744,0.07326232585475913,0.0411675538895184,0.0016947674932464077
"Next Day manuscript figure, maximum BI response",butterfly_diff,wind_max_gust,101,7.5747830709511605,5.7648823347744305,0.1918986464710648,0.13092058623074024,0.017140199899000737
Next Day GAMM-filtered maximum BI response,butterfly_diff,wind_max_gust,96,9.08416777451183,6.363403886169944,0.15673106446380325,0.14567138204520158,0.02122015154695906
Next Day historical 95th percentile response,butterfly_diff_95th,wind_max_gust,101,5.342766032261097,4.634747886956104,0.25178348974714376,0.11508721923173114,0.013245068030492536
