mapping,n,m32_ml_aicc,m2_minus_m32_aicc,interaction_edf,interaction_f,interaction_p_value,adjusted_r_squared,ml_warning,reml_warning
lower_bound,96,650.0051261772306,3.577746199444732,6.6785382741490675,4.097425177663422,8.324160058073016e-4,0.39664369755327933,,
geometric_midpoint,96,760.9969977949555,2.8290765592656726,6.59722076458702,3.9857176465756705,0.0011161648992222273,0.3949340889467463,,
arithmetic_midpoint,96,813.8554652431818,2.472894257449184,6.595797484893014,3.868359802256104,0.0013532804713135005,0.39118656241538696,,
upper_bound,96,870.7771306588451,2.4489337929563817,6.5948877999393725,3.863915853579663,0.0013661526354249443,0.390761688336703,,
