mapping,n,nonzero_sun_median,nonzero_sun_q75,m16_ml_aic,m15_minus_m16_aic,m40_minus_m16_aic,three_way_estimate,three_way_standard_error,three_way_p_value,adjusted_r_squared,ml_warning,reml_warning
lower_bound,1894,7,20,8053.947143044548,34.85068868488088,17.540156591385312,0.006616765696554542,0.0010827277589871406,1.2132113168562586e-9,0.051114068962621495,,
geometric_midpoint,1894,21,63,9505.226739745474,34.73968410195084,17.376448575858376,0.003069957246500487,5.030138271397315e-4,1.274798425159178e-9,0.05127737897361495,,
arithmetic_midpoint,1894,35,105,10187.652505041733,34.7391230201647,17.551042185586994,0.0021451911342270226,3.514378519068595e-4,1.2676732791837892e-9,0.05159718969813043,,
upper_bound,1894,63,189,10933.265265927657,34.76411281599576,17.65290886312505,0.0014492924290379515,2.373386837412273e-4,1.249227731932209e-9,0.05168925354132525,,
