term,Estimate,Std. Error,t value,Pr(>|t|),term_type,edf,Ref.df,F,p-value
(Intercept),0.15949746277841007,0.38248644620824523,0.4170016071407965,0.6767249763815203,parametric,NA,NA,NA,NA
s(total_butterflies_t_lag),NA,NA,NA,NA,smooth,2.408969320068927,2.408969320068927,12.499816366601582,9.976584521842469e-7
s(temperature_avg),NA,NA,NA,NA,smooth,3.674417091899109,3.674417091899109,3.1933964995657322,0.057074975220862356
s(time_within_day_t),NA,NA,NA,NA,smooth,4.870163015343993,4.870163015343993,9.844967687475185,0
"ti(max_gust,butterflies_direct_sun_t_lag)",NA,NA,NA,NA,smooth,7.34779588896362,7.34779588896362,4.665521485532448,5.545277965435247e-5
