source_relative_path,original_timestamp_recorded,timestamp_recorded,image_filename
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0038.JPG,2022-09-13T23:06:04,2023-12-15T22:36:50.021,TGR1_20231215223650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0039.JPG,2022-09-13T23:16:04,2023-12-15T22:46:50.087,TGR1_20231215224650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0040.JPG,2022-09-13T23:26:04,2023-12-15T22:56:50.152,TGR1_20231215225650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0041.JPG,2022-09-13T23:36:04,2023-12-15T23:06:50.217,TGR1_20231215230650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0042.JPG,2022-09-13T23:46:04,2023-12-15T23:16:50.282,TGR1_20231215231650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0043.JPG,2022-09-13T23:56:04,2023-12-15T23:26:50.347,TGR1_20231215232650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0044.JPG,2022-09-14T00:06:04,2023-12-15T23:36:50.412,TGR1_20231215233650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0045.JPG,2022-09-14T00:16:04,2023-12-15T23:46:50.478,TGR1_20231215234650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0046.JPG,2022-09-14T00:26:04,2023-12-15T23:56:50.543,TGR1_20231215235650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0047.JPG,2022-09-14T00:36:04,2023-12-16T00:06:50.608,TGR1_20231216000650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0048.JPG,2022-09-14T00:46:04,2023-12-16T00:16:50.673,TGR1_20231216001650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0049.JPG,2022-09-14T00:56:04,2023-12-16T00:26:50.738,TGR1_20231216002650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0050.JPG,2022-09-14T01:06:04,2023-12-16T00:36:50.803,TGR1_20231216003650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0051.JPG,2022-09-14T01:16:04,2023-12-16T00:46:50.869,TGR1_20231216004650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0052.JPG,2022-09-14T01:26:04,2023-12-16T00:56:50.934,TGR1_20231216005650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0053.JPG,2022-09-14T01:36:04,2023-12-16T01:06:50.999,TGR1_20231216010650.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0054.JPG,2022-09-14T01:46:04,2023-12-16T01:16:51.064,TGR1_20231216011651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0055.JPG,2022-09-14T01:56:04,2023-12-16T01:26:51.129,TGR1_20231216012651.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0056.JPG,2022-09-14T02:06:04,2023-12-16T01:36:51.194,TGR1_20231216013651.JPG
