term,Estimate,Std. Error,t value,Pr(>|t|),term_type,edf,Ref.df,F,p-value
(Intercept),0.18394302134195964,0.4214041212672818,0.4365002904783911,0.6625240337894933,parametric,NA,NA,NA,NA
s(total_butterflies_t_lag),NA,NA,NA,NA,smooth,2.638496853858916,2.638496853858916,11.98399880825744,6.489026198042147e-7
s(temperature_avg),NA,NA,NA,NA,smooth,3.733209036078335,3.733209036078335,2.8075489551404798,0.09303065432996332
s(time_within_day_t),NA,NA,NA,NA,smooth,4.96683640438698,4.96683640438698,11.078257457125567,0
"ti(minutes_above_threshold,butterflies_direct_sun_t_lag)",NA,NA,NA,NA,smooth,6.221699696759625,6.221699696759625,4.5223152887876825,1.0213037117196011e-4
