term,Estimate,Std. Error,t value,Pr(>|t|),term_type,edf,Ref.df,F,p-value
(Intercept),4.110204491398578,6.04086666606899,0.6803998033072358,0.4980590820373445,parametric,NA,NA,NA,NA
lag_duration_hours,-0.14025957694320798,0.2038550278495275,-0.6880358969941054,0.49326163227026465,parametric,NA,NA,NA,NA
"ti(wind_max_gust,sum_butterflies_direct_sun)",NA,NA,NA,NA,smooth,7.048736561710355,7.048736561710355,6.491476892462341,4.008595963667094e-6
