term,Estimate,Std. Error,t value,Pr(>|t|),term_type
(Intercept),-0.30296400063180545,0.41631263675526975,-0.7277319348100968,0.46686807733326097,parametric
minutes_since_first_daily_observation,4.1118998424431795e-4,2.6302244729600033e-4,1.5633265847518054,0.1181436546914692,parametric
maximum_wind_gust_m_s,-0.2497048363042781,0.14604356272643818,-1.7097969375891853,0.0874680033727141,parametric
mean_temperature_c,0.016030629541611566,0.0225306211120493,0.7115041108670741,0.4768599417315592,parametric
previous_sun_exposed_bi,0.17027012209255654,0.03604578535798516,4.723717916020851,2.486864326440013e-6,parametric
maximum_wind_gust_m_s:mean_temperature_c,0.019038798499908968,0.010178192392732655,1.8705481057228674,0.06156259243424364,parametric
maximum_wind_gust_m_s:previous_sun_exposed_bi,-0.08998479314433534,0.01676329271637955,-5.367966464989928,8.94675130621609e-8,parametric
mean_temperature_c:previous_sun_exposed_bi,-0.013984076639527799,0.002438341807322429,-5.7350764349498125,1.1328438164390061e-8,parametric
maximum_wind_gust_m_s:mean_temperature_c:previous_sun_exposed_bi,0.006493609185611184,0.0010786743084795763,6.019990588970383,2.091193678954787e-9,parametric
