window,framework,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc,rank_AICc
thirty_minute,primary_controls,avg_T07,Linear wind by temperature by sun-exposed BI interaction,avg,M16,,delta_bi_signed_cuberoot ~ previous_bi + minutes_since_first_daily_observation + maximum_wind_gust_m_s * mean_temperature_c * previous_sun_exposed_bi,success,,,1894,ML,8051.797686375197,8129.447934207642,-4011.8988431875987,14,8052.021209525809,0,0.9999999308944222,1
thirty_minute,sensitivity_no_previous_bi,avg_T07,Linear wind by temperature by sun-exposed BI interaction,avg,M16,,delta_bi_signed_cuberoot ~ minutes_since_first_daily_observation + maximum_wind_gust_m_s * mean_temperature_c * previous_sun_exposed_bi,success,,,1894,ML,8071.03782412018,8143.141625678878,-4022.51891206009,13,8071.231441141456,0,0.999999942860398,1
thirty_minute,sensitivity_no_time,avg_T07,Linear wind by temperature by sun-exposed BI interaction,avg,M16,,delta_bi_signed_cuberoot ~ previous_bi + maximum_wind_gust_m_s * mean_temperature_c * previous_sun_exposed_bi,success,,,1894,ML,8053.947143044548,8126.0509446032465,-4013.973571522274,13,8054.140760065825,0,0.9999999594753978,1
next_day,primary_previous_bi,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,647.9121029214167,670.9912366446272,-314.95605146070835,9,650.0051261772306,0,0.367522861302544,1
next_day,sensitivity_no_previous_bi,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,"delta_bi_signed_square_root ~ window_duration_hours + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,664.6879479672912,685.2027334990339,-324.3439739836456,8,666.3431203810843,0,0.4727706646594807,1
