window,framework,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc,rank_AICc
next_day,primary_previous_bi,max_T01,Temperature,max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_temperature_c,success,,,96,ML,650.6230915251051,668.57352886538,-318.31154576255256,7,651.8958187978324,1.890692620601726,0.14279916664129527,2
next_day,primary_previous_bi,max_T02,"Additive wind, temperature, and sun-exposed BI",max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s + maximum_temperature_c + cumulative_sun_exposed_bi,success,,,96,ML,654.3756445705795,677.45477829379,-318.18782228528977,9,656.4686678263935,6.463541649162835,0.014512563169256702,13
next_day,primary_previous_bi,max_T03,Linear wind by temperature interaction,max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * maximum_temperature_c + cumulative_sun_exposed_bi,success,,,96,ML,653.8584256366183,679.5019075512967,-316.92921281830917,10,656.446660930736,6.44153475350538,0.014673133192796244,12
next_day,primary_previous_bi,max_T04,Linear wind by sun-exposed BI interaction with additive temperature,max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + maximum_temperature_c,success,,,96,ML,654.7822369365723,680.4257188512506,-317.39111846828615,10,657.37047223069,7.365346053459348,0.009245273959066576,15
next_day,primary_previous_bi,max_T05,Linear temperature by sun-exposed BI interaction,max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_temperature_c * cumulative_sun_exposed_bi + maximum_wind_gust_m_s,success,,,96,ML,656.2198965391045,681.8633784537828,-318.10994826955226,10,658.8081318332222,8.80300565599157,0.004505427118068472,23
next_day,primary_previous_bi,max_T06,All linear two-way interactions,max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * maximum_temperature_c + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + maximum_temperature_c * cumulative_sun_exposed_bi,success,,,96,ML,654.5388046168988,685.3109829145128,-315.2694023084494,12,658.2978407614771,8.292714584246482,0.005814927000402997,20
next_day,primary_previous_bi,max_T07,Linear wind by temperature by sun-exposed BI interaction,max,,M16,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * maximum_temperature_c * cumulative_sun_exposed_bi,success,,,96,ML,649.0940696375633,682.4305961266451,-311.54703481878164,13,653.5330940278072,3.5279678505766014,0.06297901647313273,4
next_day,primary_previous_bi,max_T08,"Smooth additive wind, temperature, and sun-exposed BI",max,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(maximum_temperature_c, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"")",success,,,96,ML,657.0612256555261,680.1403593787365,-319.53061282776304,9,659.15424891134,9.149122734109369,0.0037894623818937948,25
next_day,primary_previous_bi,max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,max,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(maximum_temperature_c, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"") + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,653.0293122826422,683.8014905802562,-314.5146561413211,12,656.7883484272205,6.783222249989876,0.012368765695710916,14
next_day,primary_previous_bi,at_previous_max_T01,Temperature,at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + temperature_at_previous_day_maximum_c,success,,,96,ML,654.1419337528753,672.0923710931502,-320.07096687643764,7,655.4146610256025,5.409534848371891,0.02458208929096629,8
next_day,primary_previous_bi,at_previous_max_T02,"Additive wind, temperature, and sun-exposed BI",at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s + temperature_at_previous_day_maximum_c + cumulative_sun_exposed_bi,success,,,96,ML,657.7921693198718,680.8713030430823,-319.8960846599359,9,659.8851925756858,9.880066398455142,0.0026293911700586924,28
next_day,primary_previous_bi,at_previous_max_T03,Linear wind by temperature interaction,at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * temperature_at_previous_day_maximum_c + cumulative_sun_exposed_bi,success,,,96,ML,659.2313401690429,684.8748220837213,-319.61567008452147,10,661.8195754631606,11.814449285929982,9.995609777775274e-4,33
next_day,primary_previous_bi,at_previous_max_T04,Linear wind by sun-exposed BI interaction with additive temperature,at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + temperature_at_previous_day_maximum_c,success,,,96,ML,658.1031935277988,683.7466754424771,-319.0515967638994,10,660.6914288219165,10.686302644685838,0.0017570463727548179,31
next_day,primary_previous_bi,at_previous_max_T05,Linear temperature by sun-exposed BI interaction,at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + temperature_at_previous_day_maximum_c * cumulative_sun_exposed_bi + maximum_wind_gust_m_s,success,,,96,ML,657.1919511472956,682.835433061974,-318.5959755736478,10,659.7801864414133,9.775060264182684,0.002771130590253533,27
next_day,primary_previous_bi,at_previous_max_T06,All linear two-way interactions,at_previous_max,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * temperature_at_previous_day_maximum_c + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + temperature_at_previous_day_maximum_c * cumulative_sun_exposed_bi,success,,,96,ML,652.1602499293468,682.9324282269608,-314.0801249646734,12,655.91928607392515,5.914159896694514,0.019100329304873095,11
next_day,primary_previous_bi,at_previous_max_T07,Linear wind by temperature by sun-exposed BI interaction,at_previous_max,,M16,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * temperature_at_previous_day_maximum_c * cumulative_sun_exposed_bi,success,,,96,ML,648.5555038698594,681.8920303589413,-311.2777519349297,13,652.9945282601034,2.9894020828727434,0.08244113165220082,3
next_day,primary_previous_bi,at_previous_max_T08,"Smooth additive wind, temperature, and sun-exposed BI",at_previous_max,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(temperature_at_previous_day_maximum_c, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"")",success,,,96,ML,658.6390522005102,681.7181859237206,-320.3195261002551,9,660.7320754563241,10.726949279093446,0.0017216977790033272,32
next_day,primary_previous_bi,at_previous_max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,at_previous_max,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(temperature_at_previous_day_maximum_c, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"") + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,653.9121029196643,684.6842812172783,-314.95605145983217,12,657.6711390642427,7.666012887012016,0.007954828325381597,16
