temperature_c,butterflies_in_direct_sun,nearby_observations,wind_minimum,wind_lower_95,wind_lower,wind_upper,wind_upper_95,wind_maximum
10,0,50,0,0,0,11.819999999999999,12.155,12.4
10,7,50,0,0,0,7.819999999999976,11.91,12.4
10,20,50,0,0,0.2250000000000001,3.4,3.4,3.8
15,0,50,0,0,0.3150000000000001,4.9,4.9,5.9
15,7,50,0.9,0.9,0.9,3.8,4.962499999999997,7.2
15,20,50,0,0,0,3.4,3.709999999999999,4.5
20,0,50,0,0,0.18000000000000008,4.3,4.919999999999998,6.3
20,7,50,0,0.5800000000000001,1.2,3.755,4.032499999999999,4.3
20,20,50,0,0.15750000000000006,0.9700000000000002,3.755,3.8,4.1
