max_gust,temperature_avg,butterflies_direct_sun_t_lag,total_butterflies_t_lag,fit,supported,temperature_label,fit_supported
0,10,0,37,0.11977597099596277,TRUE,10 °C,0.11977597099596277
0.05215966386554617,10,0,37,0.11771591094055299,TRUE,10 °C,0.11771591094055299
0.10431932773109234,10,0,37,0.11565585088514323,TRUE,10 °C,0.11565585088514323
0.15647899159663853,10,0,37,0.11359579082973345,TRUE,10 °C,0.11359579082973345
0.20863865546218469,10,0,37,0.1115357307743237,TRUE,10 °C,0.1115357307743237
0.26079831932773084,10,0,37,0.10947567071891391,TRUE,10 °C,0.10947567071891391
0.31295798319327706,10,0,37,0.10741561066350416,TRUE,10 °C,0.10741561066350416
0.3651176470588232,10,0,37,0.10535555060809437,TRUE,10 °C,0.10535555060809437
0.41727731092436937,10,0,37,0.10329549055268462,TRUE,10 °C,0.10329549055268462
0.46943697478991553,10,0,37,0.10123543049727483,TRUE,10 °C,0.10123543049727483
0.5215966386554617,10,0,37,0.099175370441865085,TRUE,10 °C,0.099175370441865085
0.5737563025210078,10,0,37,0.0971153103864553,TRUE,10 °C,0.0971153103864553
0.6259159663865541,10,0,37,0.09505525033104553,TRUE,10 °C,0.09505525033104553
0.6780756302521003,10,0,37,0.09299519027563577,TRUE,10 °C,0.09299519027563577
0.7302352941176464,10,0,37,0.090935130220226,TRUE,10 °C,0.090935130220226
0.7823949579831926,10,0,37,0.08887507016481623,TRUE,10 °C,0.08887507016481623
0.8345546218487387,10,0,37,0.08681501010940645,TRUE,10 °C,0.08681501010940645
0.8867142857142849,10,0,37,0.08475495005399669,TRUE,10 °C,0.08475495005399669
0.9388739495798311,10,0,37,0.08269488999858692,TRUE,10 °C,0.08269488999858692
0.9910336134453772,10,0,37,0.08063482994317715,TRUE,10 °C,0.08063482994317715
1.0431932773109234,10,0,37,0.0785747698877674,TRUE,10 °C,0.0785747698877674
1.0953529411764695,10,0,37,0.07651470983235763,TRUE,10 °C,0.07651470983235763
1.1475126050420157,10,0,37,0.07445464977694785,TRUE,10 °C,0.07445464977694785
