temperature_c,butterflies_in_direct_sun,wind_effect_per_1_ms,standard_error,denominator_df,t_value,p_value,conf_low,conf_high,temperature_label
10,0,-0.03949519232779761,0.05299308267635455,1771,-0.7452895799439936,0.4561955752289941,-0.14343075825119334,0.06444037359559808,10.0 °C
10,0.3407821229050279,-0.04830661560782597,0.0525990009856161,1771,-0.9183941653385405,0.35853760224605813,-0.15146926737944266,0.054856036163790714,10.0 °C
10,0.6815642458100558,-0.057118038887854335,0.05229832176112038,1771,-1.0921581604233623,0.27491213760190136,-0.15969096717517722,0.04545488939946852,10.0 °C
10,1.0223463687150838,-0.06592946216788269,0.05209266238711026,1771,-1.2656189786950913,0.20581600223824342,-0.16809902982121983,0.03624010548545442,10.0 °C
10,1.3631284916201116,-0.07474088544791106,0.05198315064834149,1771,-1.4377906016801938,0.15067014300684275,-0.17669566724676788,0.027213896350945732,10.0 °C
10,1.7039106145251395,-0.0835523087279394,0.05197039435372622,1771,-1.6076904893054518,0.10808123203126105,-0.18548207155011165,0.018377454094232817,10.0 °C
10,2.0446927374301676,-0.09236373200796777,0.05205446463501871,1771,-1.7743671490155277,0.07617420520157595,-0.1944583822422734,0.009730918226337829,10.0 °C
10,2.3854748603351954,-0.10117515528799617,0.052234893977091114,1771,-1.9369265941722598,0.05291318495406173,-0.20362368238377843,0.0012733718077860695,10.0 °C
10,2.7262569832402233,-0.10998657856802455,0.05251068910574704,1771,-2.0945559930956428,0.03635226566182348,-0.21297602386158057,-0.006997133274468534,10.0 °C
10,3.067039106145251,-0.11879800184805289,0.05288035791412381,1771,-2.2465430744810284,0.024792011017161334,-0.22251248019993314,-0.015083523496172646,10.0 °C
10,3.407821229050279,-0.12760942512808116,0.05334194875606054,1771,-2.3922902725518176,0.016847288444978823,-0.2322292236266446,-0.02298962662951773,10.0 °C
10,3.748603351955307,-0.13642084840810953,0.053893099764863055,1771,-2.531323100792441,0.011449200956647334,-0.2421216218021889,-0.03072007501403018,10.0 °C
10,4.089385474860335,-0.14523227168813796,0.05453109542856914,1771,-2.663292760703464,0.007808119225375415,-0.25218434878102164,-0.03828019459525431,10.0 °C
10,4.4301675977653625,-0.15404369496816628,0.0552529274900153,1771,-2.7879734516511068,0.005360557848650743,-0.2624115044551485,-0.04567588548118408,10.0 °C
10,4.770949720670391,-0.1628551182481947,0.05605535732645902,1771,-2.9052551979955803,0.0037150752377530833,-0.2727967368995532,-0.052913499596836236,10.0 °C
10,5.111731843575418,-0.17166654152822297,0.056934977254584504,1771,-3.0151332240042317,0.002605177708758376,-0.2833333626099736,-0.05999972044647235,10.0 °C
10,5.4525139664804465,-0.18047796480825146,0.05788826864025257,1771,-3.1176949846234683,0.0018520193703108231,-0.29401448047381085,-0.0669414491426921,10.0 °C
10,5.793296089385475,-0.18928938808827978,0.05891165520128407,1771,-3.2131059200684944,0.0013366833788253467,-0.3048330763131111,-0.0737456998634485,10.0 °C
10,6.134078212290502,-0.19810081136830815,0.06000155041452557,1771,-3.3015948754609283,9.804886441573712e-4,-0.31578211586425325,-0.08041950687236307,10.0 °C
10,6.4748603351955305,-0.20691223464833652,0.061154398426782615,1771,-3.3834399482493995,7.314400376168487e-4,-0.3268546250167414,-0.08696984427993167,10.0 °C
10,6.815642458100558,-0.2157236579283648,0.06236670829007589,1771,-3.458955327977312,5.551138262026425e-4,-0.3380437569589631,-0.09340355889776651,10.0 °C
10,7.156424581005586,-0.22453508120839327,0.06363508167779872,1771,-3.528479500431443,4.286196410075498e-4,-0.34934284653801156,-0.09972731587877501,10.0 °C
10,7.497206703910614,-0.23334650448842154,0.06495623448556531,1771,-3.592365018330553,3.3663859216168725e-4,-0.360745452625523,-0.10594755635132011,10.0 °C
10,7.837988826815642,-0.24215792776845002,0.0663270128842715,1771,-3.650969902579079,2.688366279777115e-4,-0.37224538960261677,-0.11207046593428327,10.0 °C
10,8.17877094972067,-0.2509693510484783,0.06774440448450213,1771,-3.7046506343692562,2.181780698184476e-4,-0.3838367492566951,-0.11810195284026151,10.0 °C
10,8.519553072625698,-0.25978077432850677,0.06920554530507132,1771,-3.7537566272087486,1.7982437469344075e-4,-0.39551391444887307,-0.1240476342081405,10.0 °C
10,8.860335195530725,-0.26859219760853503,0.07070772322870872,1771,-3.798626024766151,1.5041230110533277e-4,-0.40727156589163005,-0.12991282932544007,10.0 °C
10,9.201117318435754,-0.2774036208885634,0.07224837858807631,1771,-3.83958264960074,1.2757811468772318e-4,-0.4191046832981681,-0.13570255847895876,10.0 °C
10,9.541899441340782,-0.2862150441685918,0.07382510246675773,1771,-3.876933923626721,1.096417830061562e-4,-0.43100854205013417,-0.14142154628704945,10.0 °C
10,9.882681564245809,-0.29502646744862016,0.07543563323159347,1771,-3.9109695883756306,9.539568402557666e-5,-0.442978706396474,-0.14707422850076632,10.0 °C
10,10.223463687150836,-0.3038378907286484,0.07707785174146099,1771,-3.9419610674646086,8.396200232960719e-5,-0.4550110200563917,-0.15266476140090515,10.0 °C
10,10.564245810055866,-0.3126493140086768,0.07874977560798974,1771,-3.970161331824243,7.469559086185768e-5,-0.46710159496286496,-0.15819703305448862,10.0 °C
10,10.905027932960893,-0.32146073728870517,0.08044955281878055,1771,-3.9958051477653678,6.711716672966472e-5,-0.47924679875583687,-0.1636746758215735,10.0 °C
10,11.24581005586592,-0.33027216056873365,0.08217545497517939,1771,-4.01910960722384,6.086691841847809e-5,-0.4914432415194321,-0.16910107961803525,10.0 °C
10,11.58659217877095,-0.3390835838487618,0.0839258703453032,1771,-4.0402748574860405,5.56719702600828e-5,-0.5036877621568254,-0.1744794055406982,10.0 °C
10,11.927374301675977,-0.3478950071287903,0.08569929688893896,1771,-4.059484963798956,5.132334082456258e-5,-0.5159774147099473,-0.17981259954763332,10.0 °C
10,12.268156424581004,-0.35670643040881855,0.08749433537380175,1771,-4.076908852268697,4.7659466233809466e-5,-0.528309454858368,-0.18510340595926916,10.0 °C
10,12.608938547486032,-0.3655178536888468,0.08930968267187506,1771,-4.092701292330913,4.455430529723351e-5,-0.5406813267713826,-0.1903543806063111,10.0 °C
10,12.949720670391061,-0.3743292769688753,0.0911441252994492,1771,-4.107003887952584,4.1908672019936795e-5,-0.5530906504380589,-0.19556790349969172,10.0 °C
10,13.290502793296088,-0.3831407002489038,0.09299653324428445,1771,-4.119946054789645,3.964386222053915e-5,-0.5655352095604255,-0.20074619093738216,10.0 °C
