temperature_c,butterflies_in_direct_sun,estimate,standard_error,conf_low,conf_high,supported,estimate_supported
6,0,-0.09311751280469112,0.08821432231815983,-0.2661326508120862,0.0798976252027039,TRUE,-0.09311751280469112
6.106145251396648,0,-0.09169457621833697,0.08721325941396806,-0.2627463251527179,0.07935717271604388,TRUE,-0.09169457621833697
6.212290502793296,0,-0.09027163963198281,0.08621436982771633,-0.2593642620313757,0.07882098276741004,TRUE,-0.09027163963198281
6.318435754189944,0,-0.08884870304562867,0.08521772998383999,-0.2559866113396405,0.07828920524838318,TRUE,-0.08884870304562867
6.424581005586592,0,-0.08742576645927452,0.0842234197479142,-0.25261352971821593,0.07776199679966683,TRUE,-0.08742576645927452
6.5307262569832405,0,-0.08600282987292036,0.08323152261069292,-0.24924518091788445,0.07723952117204368,TRUE,-0.08600282987292036
6.636871508379889,0,-0.08457989328656622,0.08224212588315973,-0.24588173618206194,0.07672194960892943,TRUE,-0.08457989328656622
6.743016759776536,0,-0.08315695670021209,0.08125532090327968,-0.24252337465230056,0.07620946125187636,TRUE,-0.08315695670021209
6.849162011173185,0,-0.08173402011385791,0.08027120325518168,-0.23917028379817237,0.07570224357045652,TRUE,-0.08173402011385791
6.955307262569832,0,-0.08031108352750378,0.07928987300154215,-0.2358226598730444,0.07520049281803683,TRUE,-0.08031108352750378
7.061452513966481,0,-0.07888814694114962,0.07831143492998284,-0.23248070839733964,0.07470441451504037,TRUE,-0.07888814694114962
7.167597765363128,0,-0.07746521035479548,0.07733599881433907,-0.22914464467096368,0.0742142239613727,TRUE,-0.07746521035479548
7.273743016759776,0,-0.07604227376844133,0.07636367969169788,-0.22581469431666085,0.07373014677977816,TRUE,-0.07604227376844133
7.379888268156424,0,-0.07461933718208719,0.07539459815614959,-0.2224910938561504,0.07325241949197597,TRUE,-0.07461933718208719
7.4860335195530725,0,-0.07319640059573303,0.07442888067023833,-0.21917409132097587,0.07278129012950978,TRUE,-0.07319640059573303
7.592178770949721,0,-0.07177346400937888,0.0734666598951398,-0.21586394690008415,0.07231701888132634,TRUE,-0.07177346400937888
7.698324022346369,0,-0.07035052742302474,0.07250807504063235,-0.2125609336262252,0.0718598787801757,TRUE,-0.07035052742302474
7.804469273743017,0,-0.06892759083667058,0.07155327223596458,-0.2092653381033365,0.07141015642999532,TRUE,-0.06892759083667058
7.910614525139665,0,-0.06750465425031643,0.07060240492275327,-0.2059774612771353,0.0709681527765024,TRUE,-0.06750465425031643
8.016759776536313,0,-0.06608171766396227,0.06965563427106976,-0.20269761925119067,0.07053418392326612,TRUE,-0.06608171766396227
8.122905027932962,0,-0.06465878107760811,0.06871312961989072,-0.19942614415078183,0.07010858199556558,TRUE,-0.06465878107760811
8.22905027932961,0,-0.06323584449125398,0.06777506894309326,-0.196163385036856,0.06969169605434801,TRUE,-0.06323584449125398
8.335195530726256,0,-0.06181290790489984,0.0668416393421679,-0.19290970887238867,0.06928389306258895,TRUE,-0.06181290790489984
8.441340782122905,0,-0.06038997131854568,0.0659130375667979,-0.18966550154339817,0.06888555890630679,TRUE,-0.06038997131854568
8.547486033519553,0,-0.05896703473219154,0.06498947056440786,-0.1864311689367779,0.06849709947239482,TRUE,-0.05896703473219154
