term,estimate,standard_error,denominator_df,t_value,p_value,conf_low,conf_high
(Intercept),0.01586851119812632,0.4809491460579498,1771,0.032994156093613926,0.9736829658211126,-0.9274191624251967,0.9591561848214493
total_butterflies_t_lag,-0.0023579559506537915,4.855566124944779e-4,1771,-4.856191615927397,1.3019337196604405e-6,-0.0033102802684459066,-0.0014056316328616763
max_gust,-0.17355087563334146,0.14688950074619372,1771,-1.1815063347054,0.2375602673765796,-0.46164589893103003,0.11454414766434709
temperature_avg,0.019115182997202673,0.02168211171672272,1771,0.8816107603790152,0.3781069677387926,-0.023410037991637673,0.06164040398604302
butterflies_direct_sun_t_lag,0.1724460197070356,0.03616495238209236,1771,4.7683187270675065,2.00966868248492e-6,0.10151553967850521,0.243376499735566
max_gust:temperature_avg,0.013405560471441723,0.010274977721165857,1771,1.3046802470264287,0.1921712587766939,-0.00674679848495029,0.03355791942783373
max_gust:butterflies_direct_sun_t_lag,-0.09202411925037991,0.01682950496601281,1771,-5.468022941626782,5.198457687632167e-8,-0.12503190129499048,-0.059016337205769334
temperature_avg:butterflies_direct_sun_t_lag,-0.014121621801749562,0.0024448684930452025,1771,-5.776025108066404,9.015239785469486e-9,-0.01891675312077199,-0.00932649048272713
max_gust:temperature_avg:butterflies_direct_sun_t_lag,0.006616765696554542,0.0010827277589871406,1771,6.11119982990399,1.2132113168562586e-9,0.004493206984966115,0.008740324408142968
